time,x1,x2
1.507537688442211099e+01,3.333333228641154888e-01,3.333333228641154888e-01
1.517587939698492505e+01,3.333333238659205167e-01,3.333333238659205167e-01
1.527638190954773911e+01,3.333333247718623382e-01,3.333333247718623382e-01
1.537688442211055317e+01,3.333333255911140602e-01,3.333333255911140602e-01
1.547738693467336724e+01,3.333333263319711026e-01,3.333333263319711026e-01
1.557788944723618130e+01,3.333333270019351868e-01,3.333333270019351868e-01
1.567839195979899536e+01,3.333333276077900531e-01,3.333333276077900531e-01
1.577889447236180942e+01,3.333333281556702943e-01,3.333333281556702943e-01
1.587939698492462348e+01,3.333333286511236393e-01,3.333333286511236393e-01
1.597989949748743754e+01,3.333333290991666864e-01,3.333333290991666864e-01
1.608040201005025338e+01,3.333333295043363065e-01,3.333333295043363065e-01
1.618090452261306567e+01,3.333333298707350512e-01,3.333333298707350512e-01
1.628140703517588150e+01,3.333333302020728417e-01,3.333333302020728417e-01
1.638190954773869379e+01,3.333333305017047721e-01,3.333333305017047721e-01
1.648241206030150963e+01,3.333333307726647488e-01,3.333333307726647488e-01
1.658291457286432191e+01,3.333333310176964104e-01,3.333333310176964104e-01
1.668341708542713775e+01,3.333333312395991288e-01,3.333333312395991288e-01
1.678391959798995003e+01,3.333333314403928438e-01,3.333333314403928438e-01
1.688442211055276587e+01,3.333333316219829756e-01,3.333333316219829756e-01
1.698492462311557816e+01,3.333333317857599121e-01,3.333333317857599121e-01
1.708542713567839400e+01,3.333333319335932132e-01,3.333333319335932687e-01
1.718592964824120628e+01,3.333333320673049216e-01,3.333333320673049216e-01
1.728643216080402212e+01,3.333333321882918643e-01,3.333333321882918643e-01
1.738693467336683440e+01,3.333333322978870306e-01,3.333333322978870306e-01
1.748743718592965024e+01,3.333333323971403028e-01,3.333333323971403028e-01
1.758793969849246253e+01,3.333333324869328651e-01,3.333333324869328651e-01
1.768844221105527836e+01,3.333333325646267165e-01,3.333333325646267165e-01
1.778894472361809065e+01,3.333333326348502101e-01,3.333333326348502101e-01
1.788944723618090649e+01,3.333333326986587242e-01,3.333333326986587797e-01
1.798994974874371877e+01,3.333333327566383453e-01,3.333333327566384008e-01
1.809045226130653461e+01,3.333333328093214254e-01,3.333333328093214809e-01
1.819095477386934689e+01,3.333333328571917997e-01,3.333333328571918552e-01
1.829145728643216273e+01,3.333333329006892276e-01,3.333333329006892831e-01
1.839195979899497502e+01,3.333333329402130563e-01,3.333333329402131118e-01
1.849246231155779085e+01,3.333333329761263286e-01,3.333333329761263841e-01
1.859296482412060314e+01,3.333333330087587809e-01,3.333333330087588364e-01
1.869346733668341898e+01,3.333333330384102289e-01,3.333333330384102844e-01
1.879396984924623126e+01,3.333333330653528992e-01,3.333333330653529547e-01
1.889447236180904710e+01,3.333333330898343161e-01,3.333333330898343716e-01
1.899497487437185939e+01,3.333333331120792442e-01,3.333333331120792997e-01
1.909547738693467522e+01,3.333333331322920756e-01,3.333333331322921311e-01
1.919597989949748751e+01,3.333333331506583841e-01,3.333333331506584396e-01
1.929648241206030335e+01,3.333333331673468680e-01,3.333333331673468680e-01
1.939698492462311563e+01,3.333333331825107937e-01,3.333333331825107937e-01
1.949748743718593147e+01,3.333333331962893831e-01,3.333333331962893831e-01
1.959798994974874375e+01,3.333333332088092571e-01,3.333333332088092571e-01
1.969849246231155959e+01,3.333333332201854349e-01,3.333333332201854349e-01
1.979899497487437188e+01,3.333333332305222774e-01,3.333333332305222774e-01
1.989949748743718771e+01,3.333333332399148197e-01,3.333333332399148197e-01
2.000000000000000000e+01,3.333333332485722833e-01,3.333333332485722833e-01
