time,x1,x2,x3,x4,x5,x6,x7
6.124497991967871258e+00,4.051920519959768541e+00,1.203197794612535960e-03,2.792626462158293688e+00,2.390465684040386840e+00,4.336738931035595268e-01,3.482643465122002846e-01,2.178186236365708406e-01
6.224899598393574429e+00,5.039054499842841039e+00,1.364383817887401514e-03,1.643375009799118436e+00,2.704417803978528045e+00,4.278407319089277405e-01,3.558308680400508184e-01,2.161084840640960791e-01
6.325301204819276712e+00,5.705422358576195840e+00,1.823792519087954122e-03,8.628189997885477025e-01,3.013736390850304314e+00,4.216984669191312096e-01,3.633992189900608349e-01,2.147034016106068310e-01
6.425702811244979884e+00,6.053627504854613761e+00,2.678820315685306614e-03,4.192377104357874473e-01,3.253697316263638672e+00,4.152760758887462100e-01,3.709403321405951859e-01,2.136036773684567569e-01
6.526104417670683056e+00,6.191447042411488688e+00,4.121512950793377109e-03,1.962351245875758599e-01,3.401434189586946655e+00,4.086034573282535942e-01,3.784243029585709905e-01,2.128095088202606178e-01
6.626506024096385339e+00,6.224647029912683927e+00,6.477692201697886863e-03,9.069965778672979539e-02,3.472934034774709300e+00,4.017112129345305482e-01,3.858205734634680972e-01,2.123210254380036854e-01
6.726907630522088510e+00,6.217736603030407316e+00,1.028540414672274132e-02,4.191189371985529905e-02,3.497308555725240353e+00,3.946304221498618814e-01,3.930981327556447025e-01,2.121383153425697166e-01
6.827309236947790794e+00,6.199132228178364734e+00,1.641937885232153463e-02,1.946449814445444168e-02,3.498133257271197394e+00,3.873924152088867867e-01,4.002257287580308631e-01,2.122614420910665933e-01
6.927710843373493965e+00,6.177034657359139480e+00,2.628969047344768828e-02,9.093565507287213606e-03,3.489267263032535649e+00,3.800285475106492949e-01,4.071720883625515319e-01,2.126904515840620791e-01
7.028112449799197137e+00,6.150310882025344483e+00,4.215649798728262482e-02,4.275645040293522652e-03,3.477073348676902320e+00,3.725699788432039194e-01,4.139061424907882203e-01,2.134253690687237526e-01
7.128514056224899420e+00,6.113713966902664332e+00,6.762228214577455099e-02,2.025851915623368311e-03,3.463558139570710903e+00,3.650474600872551934e-01,4.203972534107036640e-01,2.144661862857617507e-01
7.228915662650602592e+00,6.059321704363731520e+00,1.083815631653839845e-01,9.697144331215236650e-04,3.448529830097791127e+00,3.574911309055981978e-01,4.266154407209468147e-01,2.158128388509771289e-01
7.329317269076304875e+00,5.975961202253389004e+00,1.733165551219113532e-01,4.711082326363726525e-04,3.430684099973827283e+00,3.499303309316298960e-01,4.325316034029582646e-01,2.174651739704738518e-01
7.429718875502008046e+00,5.847663268325127284e+00,2.759677521915633314e-01,2.343346283882569256e-04,3.407971666646752773e+00,3.423934277938325277e-01,4.381177342265842878e-01,2.194229088726654120e-01
7.530120481927711218e+00,5.651942062254385668e+00,4.362135383092302643e-01,1.205689175873783686e-04,3.377604594917194447e+00,3.349076631368536616e-01,4.433471252670641016e-01,2.216855800526214004e-01
7.630522088353413501e+00,5.359139753185371724e+00,6.814744252300690697e-01,6.540458645191158174e-05,3.336020661914275376e+00,3.274990105053430245e-01,4.481945721603553534e-01,2.242524818108044271e-01
7.730923694779116673e+00,4.935614245412271117e+00,1.045368518881454767e+00,3.825914481047298731e-05,3.279240118282348071e+00,3.201920763975046325e-01,4.526365385385182072e-01,2.271226014634032397e-01
7.831325301204818956e+00,4.354283064785443358e+00,1.560953035797383315e+00,2.484868241526877377e-05,3.203999606776835929e+00,3.130100217097160908e-01,4.566513081965791754e-01,2.302945463332375098e-01
7.931726907630522128e+00,3.616387501611634470e+00,2.244457760542939884e+00,1.864127413838017859e-05,3.110615639362558582e+00,3.059744267357462633e-01,4.602192220601415973e-01,2.337664420930776199e-01
8.032128514056225299e+00,2.771624636669928421e+00,3.076237134691528485e+00,1.652213337451427849e-05,3.005233581977148738e+00,2.991053749681509832e-01,4.633226438552308091e-01,2.375358841579500169e-01
8.132530120481927582e+00,1.924503538031128613e+00,3.986694317606358062e+00,1.754650834887868895e-05,2.900628869989956726e+00,2.924213161497872249e-01,4.659462281101540704e-01,2.415998066959567092e-01
8.232931726907629866e+00,1.197488834062115703e+00,4.870899849572520424e+00,2.203181997412814714e-05,2.813940839999290233e+00,2.859391104432057462e-01,4.680769569362790983e-01,2.459544022229473992e-01
8.333333333333333925e+00,6.692134702579852767e-01,5.628999137558642119e+00,3.155481447386907542e-05,2.761072689838380612e+00,2.796740537603825127e-01,4.697042106553567242e-01,2.505950259966811533e-01
8.433734939759036209e+00,3.396298105709327220e-01,6.205284185694535104e+00,4.936367494384093766e-05,2.745158172913903627e+00,2.736398484165737388e-01,4.708199342814688437e-01,2.555160590864133940e-01
8.534136546184738492e+00,1.598520350768333764e-01,6.597064265263584026e+00,8.117675029229942337e-05,2.755914680467888900e+00,2.678487222985477256e-01,4.714185819997921412e-01,2.607108451504465130e-01
8.634538152610442552e+00,7.120032859241944012e-02,6.838249186289987236e+00,1.367773619291255129e-04,2.779598272615315224e+00,2.623114712482534916e-01,4.714971872476536596e-01,2.661715781794099511e-01
8.734939759036144835e+00,3.066899530836000518e-02,6.973692167579233825e+00,2.327017093970526365e-04,2.803750121260264017e+00,2.570375591467871090e-01,4.710553356780854406e-01,2.718892297175495854e-01
8.835341365461847118e+00,1.294317839364213414e-02,7.043839442754018521e+00,3.972296519559454214e-04,2.822114028935185814e+00,2.520351565682068529e-01,4.700952539053783186e-01,2.778534216066899654e-01
8.935742971887549402e+00,5.401209305336812823e-03,7.077607170311805085e+00,6.787245622716197961e-04,2.832850375476223981e+00,2.473112645693849587e-01,4.686217384579036693e-01,2.840523734841928216e-01
9.036144578313253461e+00,2.248203549771307739e-03,7.093094075098382412e+00,1.159982965344229407e-03,2.836925786986212561e+00,2.428718069471942076e-01,4.666421358305878897e-01,2.904728306376619940e-01
9.136546184738955745e+00,9.326248952117266412e-04,7.100245338861709499e+00,1.982980798107881939e-03,2.836249634851419454e+00,2.387217276144731892e-01,4.641663035551895633e-01,2.971000057121573890e-01
9.236947791164658028e+00,3.867535612732949735e-04,7.103753040636299865e+00,3.390967271594798240e-03,2.832610358898513425e+00,2.348650959866552812e-01,4.612065399671599342e-01,3.039175437033636573e-01
9.337349397590362088e+00,1.604973681172514217e-04,7.105198144465372678e+00,5.800926398901963196e-03,2.827287484052759758e+00,2.313052057179568466e-01,4.577775114076065299e-01,3.109074961446414154e-01
9.437751004016064371e+00,6.666802587545381752e-05,7.104349069015540863e+00,9.927001645226782994e-03,2.821018929692567401e+00,2.280446737094342369e-01,4.538961566536178771e-01,3.180503177851889962e-01
9.538152610441766655e+00,2.776005277381890307e-05,7.099721424113036861e+00,1.699376029720680442e-02,2.814100405811279959e+00,2.250855349630348501e-01,4.495815778853937683e-01,3.253248808730033192e-01
9.638554216867468938e+00,1.159871539911733277e-05,7.088542146604342342e+00,2.909914123760997187e-02,2.806481370742574644e+00,2.224293323294966040e-01,4.448549144512107256e-01,3.327085117365111699e-01
9.738955823293172998e+00,4.789167969678680054e-06,7.066202120788132035e+00,4.980741319299307468e-02,2.797799145094424400e+00,2.200772066962833895e-01,4.397391754086867888e-01,3.401770681503139548e-01
9.839357429718875281e+00,1.963796686876927484e-06,7.025169888156052700e+00,8.509560296002528779e-02,2.787330710782195187e+00,2.180299739928687197e-01,4.342590781297822056e-01,3.477050238019839257e-01
9.939759036144577564e+00,8.834116843334893797e-07,6.952976992806928713e+00,1.450520996924837547e-01,2.773826000618901944e+00,2.162881834894249400e-01,4.284409393047052816e-01,3.552655190319753964e-01
