time,x1,x2,x3,x4,x5,x6,x7,x8
4.120603015075377407e+00,4.773686692399127240e-01,6.141565252194168822e-01,6.141565252194168822e-01,7.474381273479535626e-01,8.344809846875422821e-01,8.344809846875422821e-01,5.644523192964058245e-01,1.723835026120122293e+00
4.221105527638191468e+00,4.348836872254610020e-01,5.947976453217045378e-01,5.947976453217045378e-01,6.594961911596216586e-01,7.942524406289658279e-01,7.942524406289658279e-01,6.363519613053015833e-01,1.509626746116726537e+00
4.321608040201005529e+00,3.975054665529622056e-01,5.769534968346295978e-01,5.769534968346295978e-01,5.845742646811641352e-01,7.570651255095142140e-01,7.570651255095142140e-01,7.246188313743936460e-01,1.325223616351297151e+00
4.422110552763819591e+00,3.646852983522764768e-01,5.604141597563879751e-01,5.604141597563879751e-01,5.206148166766283447e-01,7.228167725967372670e-01,7.228167725967372670e-01,8.322551577091028552e-01,1.166776638077655193e+00
4.522613065326633652e+00,3.359560163449412107e-01,5.450217138174867637e-01,5.450217138174867637e-01,4.659048824720524729e-01,6.913401317924711131e-01,6.913401317924711131e-01,9.629610927909788565e-01,1.030961123753669328e+00
4.623115577889447714e+00,3.109236918826169260e-01,5.306560481609133850e-01,5.306560481609133850e-01,4.190283722687274115e-01,6.624381720017744613e-01,6.624381720017744613e-01,1.121255065269519458e+00,9.149209130637415699e-01
4.723618090452261775e+00,2.892623142310919437e-01,5.172250313856731063e-01,5.172250313856731063e-01,3.788200283266162094e-01,6.359057180238548712e-01,6.359057180238548712e-01,1.312620725161922408e+00,8.162205554855073153e-01
4.824120603015075837e+00,2.707110392333527127e-01,5.046578065890074960e-01,5.046578065890074960e-01,3.443247452347765747e-01,6.115422746404617360e-01,6.115422746404617360e-01,1.543682244792043967e+00,7.328064409997713247e-01
4.924623115577889898e+00,2.550740903230532264e-01,4.929003549944991347e-01,4.929003549944991347e-01,3.147633978016439182e-01,5.891592556572247119e-01,5.891592556572247119e-01,1.822409397982963863e+00,6.629781028706716040e-01
5.025125628140703959e+00,2.422238459177242509e-01,4.819127588224906278e-01,4.819127588224906278e-01,2.895051952362763803e-01,5.685837495011052400e-01,5.685837495011052400e-01,2.158352418583209698e+00,6.053716339682893022e-01
5.125628140703518021e+00,2.321081638912900480e-01,4.716678123198210781e-01,4.716678123198210781e-01,2.680461727683562945e-01,5.496602327263206966e-01,5.496602327263206966e-01,2.562903532459927192e+00,5.589584918677557024e-01
5.226130653266332082e+00,2.247637759468205654e-01,4.621508312160486076e-01,4.621508312160486076e-01,2.499933901426877603e-01,5.322511125155416911e-01,5.322511125155416911e-01,3.049575531737962475e+00,5.230654617171134335e-01
5.326633165829146144e+00,2.203387362369913782e-01,4.533606737457039904e-01,4.533606737457039904e-01,2.350546473222644428e-01,5.162367370028898561e-01,5.162367370028898561e-01,3.634275959924594623e+00,4.974257090930381819e-01
5.427135678391960205e+00,2.191289461304404274e-01,4.453122065910452565e-01,4.453122065910452565e-01,2.230338744570733167e-01,5.015152828715421229e-01,5.015152828715421229e-01,4.335532674734982272e+00,4.822786743345319760e-01
5.527638190954774267e+00,2.216371888450717198e-01,4.380407437801845383e-01,4.380407437801845383e-01,2.138329249197182536e-01,4.880028504375640286e-01,4.880028504375640286e-01,5.174584233649337506e+00,4.785505847077147767e-01
5.628140703517588328e+00,2.286692089981705311e-01,4.316094275642807787e-01,4.316094275642807787e-01,2.074613505077579911e-01,4.756340639287655048e-01,4.756340639287655048e-01,6.175168471231333278e+00,4.881744150699426354e-01
5.728643216080402389e+00,2.414920936934720208e-01,4.261213247462626308e-01,4.261213247462626308e-01,2.040570397003149128e-01,4.643635383884691104e-01,4.643635383884691104e-01,7.362688951679463578e+00,5.146594315916780404e-01
5.829145728643216451e+00,2.621003306192440929e-01,4.217394457254247664e-01,4.217394457254247664e-01,2.039227579770125365e-01,4.541686849736670806e-01,4.541686849736670806e-01,8.762130542839278391e+00,5.641262106623047279e-01
5.929648241206030512e+00,2.936700089563709648e-01,4.187205591201316746e-01,4.187205591201316746e-01,2.075870179277950478e-01,4.450546112573058322e-01,4.450546112573058322e-01,1.039349401774009607e+01,6.472309237552064110e-01
6.030150753768844574e+00,3.413437872026550690e-01,4.174738614430826278e-01,4.174738614430826278e-01,2.159033903289091227e-01,4.370623179974145178e-01,4.370623179974145178e-01,1.226230141426114528e+01,7.828264557149181568e-01
6.130653266331658635e+00,4.135845273646088782e-01,4.186656704156518916e-01,4.186656704156518916e-01,2.302113097336465075e-01,4.302822152009194157e-01,4.302822152009194157e-01,1.434037332666021847e+01,1.005014065807023238e+00
6.231155778894472697e+00,5.244257719103291304e-01,4.234107647621463411e-01,4.234107647621463411e-01,2.525941742827517711e-01,4.248763571400150929e-01,4.248763571400150929e-01,1.652807848012018610e+01,1.376496354819879864e+00
6.331658291457286758e+00,6.967672976711870581e-01,4.336258376050781682e-01,4.336258376050781682e-01,2.862829919711150639e-01,4.211150159324181796e-01,4.211150159324181796e-01,1.858542740117417935e+01,2.011605505940601724e+00
6.432160804020100819e+00,9.653404318817077057e-01,4.526679646180872263e-01,4.526679646180872263e-01,3.362418999811599973e-01,4.194361954321752517e-01,4.194361954321752517e-01,2.003107972857581132e+01,3.104104963781597615e+00
6.532663316582914881e+00,1.372402210988279414e+00,4.863766285512809984e-01,4.863766285512809984e-01,4.098468338206051609e-01,4.205382559797862796e-01,4.205382559797862796e-01,2.009353473394471123e+01,4.910890154795898077e+00
6.633165829145728942e+00,1.939445281379735819e+00,5.443034198201480711e-01,5.443034198201480711e-01,5.171111434864178458e-01,4.255062336160080338e-01,4.255062336160080338e-01,1.802044013472130857e+01,7.546684909932579899e+00
6.733668341708543004e+00,2.609391988156547271e+00,6.396980607454330059e-01,6.396980607454330059e-01,6.690217042202059039e-01,4.359268540773977851e-01,4.359268540773977851e-01,1.397623860171544052e+01,1.055134033509950342e+01
6.834170854271357065e+00,3.222814572424532287e+00,7.849510703988108462e-01,7.849510703988108462e-01,8.725979666046443928e-01,4.538486140238024436e-01,4.538486140238024436e-01,9.433546070104757320e+00,1.290231018462133861e+01
6.934673366834171127e+00,3.599883619465252149e+00,9.795299503066942082e-01,9.795299503066942082e-01,1.124677165520969524e+00,4.813758421602588600e-01,4.813758421602588600e-01,5.844219396175988734e+00,1.392439182500219097e+01
7.035175879396985188e+00,3.649733324206009488e+00,1.194769854581192225e+00,1.194769854581192225e+00,1.409288745080868877e+00,5.198396743645948836e-01,5.198396743645948836e-01,3.549978881630231786e+00,1.375703494579332720e+01
7.135678391959799249e+00,3.408514188991760285e+00,1.375002849836001628e+00,1.375002849836001628e+00,1.700148173085896497e+00,5.689377316094690329e-01,5.689377316094690329e-01,2.218026722037004461e+00,1.288251909931409500e+01
7.236180904522613311e+00,2.999914785695616537e+00,1.470559721934516562e+00,1.470559721934516562e+00,1.966283727617763821e+00,6.265891803514171965e-01,6.265891803514171965e-01,1.461260261576516450e+00,1.169922977093543537e+01
7.336683417085427372e+00,2.552997245782084867e+00,1.472024583230904460e+00,1.472024583230904460e+00,2.178700732921908134e+00,6.896138376501351752e-01,6.896138376501351752e-01,1.024322835503990614e+00,1.044012288492658058e+01
7.437185929648241434e+00,2.146250082003017035e+00,1.405610810954508683e+00,1.405610810954508683e+00,2.316283293132809451e+00,7.543219524778933538e-01,7.543219524778933538e-01,7.644011821727551004e-01,9.221532549308902205e+00
7.537688442211055495e+00,1.806655091682181080e+00,1.305803544096460822e+00,1.305803544096460822e+00,2.369509367260140387e+00,8.165947324360894877e-01,8.165947324360894877e-01,6.051345448558334006e-01,8.094976419142641433e+00
7.638190954773869557e+00,1.532789528944500823e+00,1.198049006273818495e+00,1.198049006273818495e+00,2.341223616097282800e+00,8.720473627062216293e-01,8.720473627062216293e-01,5.055658279757360152e-01,7.078898536992162427e+00
7.738693467336683618e+00,1.313471926859168359e+00,1.096216452596112889e+00,1.096216452596112889e+00,2.244449699496969597e+00,9.166798508666427203e-01,9.166798508666427203e-01,4.432446870908130498e-01,6.175523965461918507e+00
7.839195979899497679e+00,1.136648755247316789e+00,1.006009095294770672e+00,1.006009095294770672e+00,2.098130372902998975e+00,9.477284637007988843e-01,9.477284637007988843e-01,4.055457645974430703e-01,5.379443019096689760e+00
7.939698492462311741e+00,9.922941488201667548e-01,9.286148374166234287e-01,9.286148374166234287e-01,1.922399083852630364e+00,9.642018443004254369e-01,9.642018443004254369e-01,3.852269169924436576e-01,4.681950969442884691e+00
8.040201005025126690e+00,8.728026342392425363e-01,8.631251563142358085e-01,8.631251563142358085e-01,1.734915049508394702e+00,9.668467420955743075e-01,9.668467420955743075e-01,3.781189659973249739e-01,4.073241986808750603e+00
8.140703517587940752e+00,7.725995671172106727e-01,8.078695277888013893e-01,8.078695277888013893e-01,1.548985334413615744e+00,9.576590400797195812e-01,9.576590400797195812e-01,3.818962682901799188e-01,3.543509133265052125e+00
