time,x1,x2
1.184738955823293161e+01,1.109988557262512110e+00,1.062315942481440523e+01
1.194779116465863389e+01,8.214554494066793611e-01,9.403799839027120910e+00
1.204819277108433795e+01,6.443538151516270407e-01,8.268237273703748613e+00
1.214859437751004023e+01,5.337989061970339622e-01,7.238724032468560665e+00
1.224899598393574252e+01,4.644561085442258652e-01,6.320496603108105127e+00
1.234939759036144658e+01,4.220263202558943716e-01,5.509626006184936919e+00
1.244979919678714886e+01,3.983567368206996639e-01,4.798103211383448752e+00
1.255020080321285114e+01,3.888291121407235207e-01,4.176382523926183588e+00
1.265060240963855342e+01,3.907761036554252554e-01,3.634819714760939124e+00
1.275100401606425748e+01,4.028353989249694456e-01,3.164155433331067524e+00
1.285140562248995977e+01,4.245203542417855247e-01,2.755834950953602203e+00
1.295180722891566205e+01,4.559631245813938194e-01,2.402133241168161071e+00
1.305220883534136611e+01,4.979309724695856199e-01,2.096127671282375982e+00
1.315261044176706839e+01,5.516010036243523817e-01,1.831716832134228090e+00
1.325301204819277068e+01,6.186602861967431810e-01,1.603570984154809587e+00
1.335341365461847296e+01,7.013015812661591575e-01,1.406994137711918169e+00
1.345381526104417702e+01,8.023009349694789627e-01,1.237929970491800979e+00
1.355421686746987930e+01,9.250956474143194885e-01,1.092846449630715977e+00
1.365461847389558159e+01,1.073919457976886926e+00,9.687056278954044863e-01
1.375502008032128565e+01,1.253873320257449242e+00,8.629197192437383368e-01
1.385542168674698793e+01,1.471256295174652617e+00,7.732665976128391128e-01
1.395582329317269021e+01,1.733381810156755076e+00,6.979499074142794246e-01
1.405622489959839427e+01,2.049341772324173583e+00,6.354652523641559636e-01
1.415662650602409656e+01,2.429686009070401109e+00,5.846587699980676511e-01
1.425702811244979884e+01,2.887227082252127985e+00,5.447431528299084835e-01
1.435742971887550112e+01,3.436840454128274658e+00,5.152877979039589551e-01
1.445783132530120518e+01,4.096005541239138736e+00,4.964072137844999233e-01
1.455823293172690747e+01,4.884863930321750480e+00,4.887465954888203234e-01
1.465863453815260975e+01,5.825771017649671535e+00,4.940007127508198592e-01
1.475903614457831381e+01,6.943442766239752650e+00,5.150974066729658851e-01
1.485943775100401609e+01,8.262718461754825938e+00,5.570421053485782314e-01
1.495983935742971838e+01,9.805228818728833673e+00,6.289003066795566532e-01
1.506024096385542244e+01,1.158110758365570625e+01,7.465449434921870298e-01
1.516064257028112472e+01,1.357349256953005323e+01,9.385412444125583731e-01
1.526104417670682700e+01,1.571330576774501608e+01,1.255155321561423065e+00
1.536144578313252929e+01,1.781367917702781156e+01,1.790502717153688694e+00
1.546184738955823335e+01,1.948975159248753641e+01,2.705948445733213692e+00
1.556224899598393563e+01,2.008246573374243127e+01,4.234955130878427454e+00
1.566265060240963791e+01,1.878183055298521964e+01,6.574532109319903839e+00
1.576305220883534197e+01,1.535158178016968300e+01,9.500121140656014873e+00
1.586345381526104426e+01,1.086346160825208251e+01,1.213461373552312317e+01
1.596385542168674654e+01,6.908557080665310934e+00,1.361107425436757090e+01
1.606425702811245060e+01,4.221630353148739800e+00,1.380141923900351131e+01
1.616465863453815288e+01,2.618545887419319929e+00,1.312958480382250848e+01
1.626506024096385516e+01,1.701905772272089168e+00,1.203532604401437744e+01
1.636546184738955745e+01,1.173363727016127234e+00,1.080238609993791954e+01
1.646586345381525973e+01,8.609120574504276480e-01,9.576817266199846301e+00
1.656626506024096201e+01,6.703414326071197582e-01,8.427909511510041085e+00
1.666666666666666785e+01,5.514866692925338709e-01,7.383068148563049604e+00
1.676706827309237013e+01,4.767375296191101453e-01,6.449309099682523083e+00
1.686746987951807242e+01,4.306801400306777827e-01,5.623596344396925240e+00
1.696787148594377470e+01,4.045427403122811572e-01,4.898351085554534023e+00
1.706827309236947698e+01,3.931187468789007489e-01,4.264300764709230585e+00
1.716867469879517927e+01,3.935256243835991152e-01,3.711738678745705400e+00
1.726907630522088510e+01,4.042794665394474074e-01,3.231360727191837423e+00
1.736947791164658739e+01,4.247832562845126336e-01,2.814506228139759259e+00
1.746987951807228967e+01,4.551045981876829516e-01,2.453333295724906105e+00
1.757028112449799195e+01,4.958657418611354117e-01,2.140782685157810672e+00
1.767068273092369424e+01,5.482094933469696674e-01,1.870654417047282969e+00
1.777108433734939652e+01,6.137725799061530818e-01,1.637514920759697290e+00
1.787148594377509880e+01,6.946908902071510239e-01,1.436486010060312957e+00
1.797188755020080464e+01,7.936530293883031772e-01,1.263432033934874577e+00
1.807228915662650692e+01,9.139822467553764263e-01,1.114919861182567251e+00
1.817269076305220921e+01,1.059930280969964667e+00,9.876664989147685425e-01
1.827309236947791149e+01,1.236461261675782408e+00,8.792631781133654068e-01
1.837349397590361377e+01,1.449710574592117496e+00,7.875300135683912517e-01
1.847389558232931606e+01,1.707101162431761798e+00,7.103527301260139648e-01
1.857429718875501834e+01,2.017011592471666948e+00,6.462202476431382347e-01
1.867469879518072418e+01,2.390315297688571761e+00,5.939253260140255897e-01
1.877510040160642646e+01,2.839352346591489606e+00,5.526319096067321412e-01
1.887550200803212874e+01,3.378462016158096937e+00,5.219254510520837664e-01
1.897590361445783103e+01,4.025332872145735763e+00,5.018872294174148152e-01
1.907630522088353331e+01,4.799335179184361699e+00,4.929885781617887042e-01
1.917670682730923559e+01,5.722456786871084056e+00,4.969574660798896093e-01
1.927710843373493788e+01,6.819237633122924080e+00,5.166064174338382831e-01
1.937751004016064371e+01,8.114952919130438147e+00,5.563297323300159247e-01
1.947791164658634600e+01,9.630867687201117633e+00,6.250937129977629514e-01
1.957831325301204828e+01,1.137857698786783622e+01,7.378863165465681107e-01
1.967871485943775056e+01,1.334502576016438979e+01,9.214355649877132848e-01
1.977911646586345285e+01,1.546665764250117547e+01,1.223643030875871673e+00
1.987951807228915513e+01,1.757277198060822698e+01,1.732527816197770631e+00
1.997991967871486096e+01,1.930240051218390462e+01,2.601368188422150673e+00
2.008032128514056325e+01,2.002678262332257830e+01,4.056785507689558479e+00
2.018072289156626553e+01,1.894623678018495028e+01,6.304045717188798470e+00
2.028112449799196781e+01,1.572111615207045432e+01,9.184827463413032689e+00
2.038152610441767010e+01,1.129067712942559965e+01,1.187883605697092193e+01
2.048192771084337238e+01,7.262800053364093067e+00,1.347514994205568861e+01
2.058232931726907466e+01,4.468094015285624110e+00,1.378074227911223737e+01
2.068273092369478050e+01,2.765552037965895327e+00,1.319023037341601245e+01
2.078313253012048278e+01,1.787492334190248222e+00,1.213549859511449469e+01
2.088353413654618507e+01,1.224952885040711648e+00,1.091461135505326929e+01
2.098393574297188735e+01,8.914004209070349738e-01,9.690675201869311195e+00
2.108433734939758963e+01,6.898269105712540039e-01,8.534261019767576784e+00
2.118473895582329192e+01,5.642044050731246374e-01,7.480094409184898652e+00
2.128514056224899420e+01,4.852675053640689851e-01,6.536267129841496271e+00
2.138554216867470004e+01,4.364531831699879905e-01,5.700688066595951398e+00
2.148594377510040232e+01,4.082805461041099093e-01,4.966308683604731655e+00
2.158634538152610460e+01,3.953615827991522336e-01,4.323866822515217478e+00
2.168674698795180689e+01,3.945910112382651769e-01,3.763759022061004877e+00
2.178714859437750917e+01,4.043091693475447390e-01,3.276657705568533974e+00
2.188755020080321145e+01,4.238308025087980102e-01,2.853853021526407741e+00
2.198795180722891729e+01,4.531713747412126625e-01,2.487430861640276714e+00
2.208835341365461957e+01,4.928845927678270900e-01,2.170305700644126201e+00
2.218875502008032186e+01,5.441123314030786862e-01,1.896194681266246240e+00
2.228915662650602414e+01,6.084181280243184942e-01,1.659560815285855195e+00
2.238955823293172642e+01,6.878830119614064431e-01,1.455610184689704045e+00
